District,Name,Enrollment,FreeLunch,ReducedLunch,FreeorReduced,FreeorReducedPrice
9,AGWSR,539,178,34,212,39.33
18,Adair-Casey,287,96,12,108,37.63
27,Adel DeSoto Minburn,1629,282,83,365,22.41
63,Akron Westfield,552,135,49,184,33.33
72,Albert City-Truesdale,99,36,17,53,53.54
81,Albia,1167,366,74,440,37.7
99,Alburnett,622,77,20,97,15.59
108,Alden,228,56,22,78,34.21
126,Algona,1358,331,129,460,33.87
135,Allamakee,1116,329,237,566,50.72
153,North Butler,660,187,60,247,37.42
171,Alta,489,206,34,240,49.08
225,Ames,4206,1033,190,1223,29.08
234,Anamosa,1212,437,107,544,44.88
243,Andrew,156,48,23,71,45.51
261,Ankeny,10169,1024,305,1329,13.07
279,Aplington-Parkersburg,837,168,72,240,28.67
333,North Union,390,102,45,147,37.69
355,Ar-We-Va,221,46,33,79,35.75
387,Atlantic,1499,600,155,755,50.37
414,Audubon,537,162,36,198,36.87
423,Aurelia,262,96,15,111,42.37
441,A-H-S-T,597,164,44,208,34.84
472,Ballard,1712,274,45,319,18.63
504,Battle Creek-Ida Grove,576,189,54,243,42.19
513,Baxter,425,82,20,102,24
540,BCLUW,604,166,35,201,33.28
549,Bedford,445,165,42,207,46.52
576,Belle Plaine,522,165,35,200,38.31
585,Bellevue,621,109,38,147,23.67
594,Belmond-Klemme,716,334,37,371,51.82
603,Bennett,81,26,4,30,37.04
609,Benton,1420,258,83,341,24.01
621,Bettendorf,4392,1108,248,1356,30.87
657,Eddyville-Blakesburg-,903,332,76,408,45.18
720,Bondurant-Farrar,1755,271,91,362,20.63
729,Boone,1995,584,116,700,35.09
747,Boyden-Hull,630,133,62,195,30.95
819,West Hancock,612,215,39,254,41.5
846,Brooklyn-Guernsey-Malcom,552,125,42,167,30.25
873,North Iowa,441,145,58,203,46.03
882,Burlington,4001,2225,217,2442,61.03
914,CAM,841,261,99,360,42.81
916,CAL,220,117,21,138,62.73
918,Calamus-Wheatland,490,99,60,159,32.45
936,Camanche,1059,334,65,399,37.68
977,Cardinal,627,306,56,362,57.74
981,Carlisle,2008,438,106,544,27.09
999,Carroll,1684,441,134,575,34.14
1044,Cedar Falls,5125,891,224,1115,21.76
1053,Cedar Rapids,15884,6894,1055,7949,50.04
1062,Center Point-Urbana,1440,179,30,209,14.51
1071,Centerville,1329,499,111,610,45.9
1079,Central Lee,1068,279,83,362,33.9
1080,Central,452,112,34,146,32.3
1082,Central DeWitt,1452,326,75,401,27.62
1089,Central City,447,118,18,136,30.43
1093,Central Decatur,698,339,109,448,64.18
1095,Central Lyon,687,164,28,192,27.95
1107,Chariton,1337,635,70,705,52.73
1116,Charles City,1525,629,120,749,49.11
1134,Charter Oak-Ute,272,98,32,130,47.79
1152,Cherokee,1009,335,84,419,41.53
1197,Clarinda,1194,299,70,369,30.9
1206,Clarion-Goldfield-Dows,921,317,78,395,42.89
1211,Clarke,1330,622,161,783,58.87
1215,Clarksville,306,83,17,100,32.68
1218,Clay Central-Everly,296,98,29,127,42.91
1221,Clear Creek Amana,2031,310,88,398,19.6
1233,Clear Lake,1273,219,73,292,22.94
1278,Clinton,3465,1724,246,1970,56.85
1332,Colfax-Mingo,652,261,35,296,45.4
1337,College,5100,1265,283,1548,30.35
1350,Collins-Maxwell,442,96,37,133,30.09
1359,Colo-NESCO School,446,123,36,159,35.65
1368,Columbus,739,487,59,546,73.88
1413,Coon Rapids-Bayard,379,137,55,192,50.66
1431,Corning,423,145,50,195,46.1
1449,Corwith-Wesley,58,26,4,30,51.72
1476,Council Bluffs,8582,3895,466,4361,50.82
1503,Creston,1441,650,143,793,55.03
1576,Dallas Center-Grimes,2574,341,159,500,19.43
1602,Danville,628,104,32,136,21.66
1611,Davenport,15269,7520,619,8139,53.3
1619,Davis County,1213,398,81,479,39.49
1638,Decorah Community,1687,295,154,449,26.62
1675,Delwood,141,43,10,53,37.59
1701,Denison,2126,1273,255,1528,71.87
1719,Denver,730,69,28,97,13.29
1737,Des Moines Independent,31356,19796,3163,22959,73.22
1782,Diagonal,105,41,9,50,47.62
1791,Dike-New Hartford,850,170,53,223,26.24
1863,Dubuque,10472,3213,675,3888,37.13
1908,Dunkerton,454,138,34,172,37.89
